te	gloss	pos	status
ప్ర్నలు	questions (OCR of ప్రశ్నలు, plural of ప్రశ్న)	noun — plural	draft
కట్టేచోట	at the place where (houses) are built	noun phrase — rel. participle of కట్టు 'build' + చోటు 'place', locative	draft
తోచటంలేదు	doesn't feel like doing anything; is bored (from తోచు)	verb — negative present, 3sg	draft
రెడు	two (OCR variant of రెండు)	numeral	draft
టట్లు			ocr-junk
వర్షాలే	the rains (alone), emphatic of వర్షాలు 'rains'	noun — plural + emphatic -ఏ	draft
బాగాచదువు	study well! (బాగా + చదువు, imperative of చదువు)	adverb + verb — imperative, 2sg	draft
నుబ్బారావు	Subbarao (man's name; OCR of సుబ్బారావు)	name	draft
నాదే	mine indeed (నాది + emphatic ఏ)	pronoun — possessive with emphatic particle	draft
బెంగాలీవాడివి	you are a Bengali (man)	noun + copula, 2sg (from బెంగాలీవాడు)	draft
పెద్దబ్బాయికి	for the elder son (dative of పెద్దబ్బాయి)	noun — dative sg	draft
తుడిచావా	did you wipe/clean? (from తుడుచు 'to wipe')	verb — past interrogative, 2sg	draft
తరవాత	afterwards, later	adverb	draft
ూ			ocr-junk
నెడ్తున్నాను	I am pushing (from నెట్టు/నెడు 'to push')	verb — present continuous, 1sg	draft
చేసేను	(I) did it, have finished it	verb — past, 1sg of చేయు 'to do'	draft
అనే	named, called (relative participle of అను 'to say')	verb — relative participle	draft
గమనించటానికి	in order to observe (from గమనించు, to notice)	verb — infinitive/purposive (dative of verbal noun)	draft
ఆపరేష్ట్	operation, surgery (Eng. loanword; garbled ఆపరేషన్)	noun	draft
కొండమీదికి	onto the hill (కొండ + మీదికి)	noun + postposition, dative/allative	draft
పాటలున్నాయి	there are songs (పాటలు + ఉన్నాయి)	noun + verb — present, 3pl	draft
వెళ్తు	going (part of వెళ్తున్నావ్ 'you are going'); from వెళ్ళు	verb — present progressive stem, split across hyphen	draft
లాగేసింది	pulled (it) away; from లాగు 'pull' (+వేయు, completive)	verb — past, 3sg fem	draft
ఇక్సడికి	to here, to this place (from ఇక్కడ)	adverb — dative form	draft
జొష్టు	hair (of the head) — in idiom 'grab by the hair'	noun	draft
తలమీద	on the head (తల 'head' + మీద 'on')	noun + postposition	draft
రిపబ్లిక్	"Republic (in ""Republic Day"") — English loanword"	noun	draft
కళ్ళ	"of the eyes (in ""కళ్ళ ఎదట"" = before one's eyes); from కళ్ళు"	noun — oblique plural of కన్ను	draft
నారాయణ	Narayana (man's name)	name	draft
పెట్టెలోనీ	in the trunk (itself); from పెట్టె 'box, trunk'	noun — locative + emphatic	draft
ఎడమకంటికి	to/in the left eye (ఎడమ కన్ను + -కి)	noun — dative singular	draft
గోప్	Gopi (a person's name)	name (proper noun)	draft
రాలేదో	didn't come (in embedded question); from రావు 'to come'	verb — negative past + dubitative -ఓ	draft
ప్రస్తకాలు	books (from పుస్తకం; misspelling of పుస్తకాలు)	noun — plural	draft
అలాగేనండీ	"""Very well, sir/ma'am!"" — polite agreement"	interjection (అలాగే + polite -అండీ)	draft
తమ్ముడెలా	younger brother + how (తమ్ముడు + ఎలా)	noun + interrogative adverb (sandhi)	draft
విశ్వనాథం	Viswanatham (a man's name; speaker label)	name	draft
గోపాలరావుకూ	and to Gopalarao (dative + 'also'); from గోపాలరావు	name — dative with clitic కూ	draft
పంధొమ్మిది	nineteen (the 19th)	numeral	draft
వున్నాయి	there are (from ఉండు 'to be')	verb — present, 3pl non-human	draft
చటం			ocr-junk
ఇక్కణ్ణించి	from here (colloquial form of ఇక్కడనుండి)	adverb	draft
చదివితే	if (you) read — from చదువు 'to read'	verb — conditional	draft
పుష్పకవిమానం	the Pushpaka — mythic flying chariot of endless capacity	noun (proper)	draft
స్థానిక	local	adjective	draft
వెళ్ళవద్దు	don't go (from వెళ్ళు 'to go' + prohibitive వద్దు)	verb — negative imperative/hortative	draft
చూపించక	without showing (in చూపించకపోతే 'if not shown')	verb — negative adverbial participle of చూపించు 'to show'	draft
చెట్లున్నాయి	there are trees (చెట్టు + ఉన్నాయి)	noun + verb, present 3pl	draft
మొయ్యటం	carrying (out); verbal noun of మోయు 'to carry'	verbal noun (gerund)	draft
టిక్కెట్టు	ticket (one ticket)	noun	draft
కోటంలే			ocr-junk
పొడిచింది	rose, dawned (of the sun); from పొడుచు	verb — past, 3sg neut	draft
గట్టిగానే	loudly (indeed), aloud; from గట్టిగా	adverb + emphatic -ఏ	draft
వస్తానన్నాడు	said he would come (వచ్చు + అను)	verb — past, 3sg masc, quotative compound	draft
బాగున్నానండీ	I am fine (polite) — from బాగుండు 'to be well'	verb — present-perfect, 1sg + polite particle అండీ	draft
సినిమాహాల్లో	in the cinema hall (from సినిమాహాలు)	noun — locative	draft
విషయాలలో	in matters (locative pl. of విషయం 'matter')	noun — locative plural	draft
విరుగుతోంది	is breaking/snapping (from విరుగు)	verb — present continuous, 3sg neut	draft
తాయా	will they happen? (ending of జరుగుతాయా, from జరుగు)	verb suffix — future 3pl + question	draft
చినుగుతాయి	(they) will get torn — from చినుగు	verb — future/habitual, 3pl	draft
ఏడవకమ్మా	don't cry, dear (ఏడవడం + అమ్మా)	verb — negative imperative + affectionate address	draft
దొరుకుతుంది	will be available, we'll get (from దొరుకు)	verb — future/habitual, 3sg neut	draft
న్నావా			ocr-junk
వాడ్తాం	we (will) use — from వాడు (to use)	verb — future/habitual, 1pl (colloquial)	draft
చదివారా	did (you all) read? (from చదువు, to read)	verb — past interrogative, 2pl/hon	draft
మత్తుమందు	anaesthetic; sedative drug	noun	draft
ఎప్పటి	of when; until when (with దాకా = how long)	interrogative adjective (from ఎప్పుడు 'when')	draft
మంచిపాపవి	you are a good girl (మంచి + పాప + -వి 'you are')	noun with 2sg predicative suffix	draft
అందితే	if (it/one) is within reach; from అందు 'to reach/be attained'	verb — conditional, 3sg	draft
రోగ్రస్			ocr-junk
టెన్ట్	Tenth (class/grade exam)	noun (English loan)	draft
ఉన్నదో	whether (it) exists/is there (from ఉండు)	verb — 3sg neut, dubitative -ఓ	draft
తెలియదా	don't (you) know? (from తెలియు, to be known)	verb — negative present, interrogative	draft
పంధొమ్మిదో	"nineteenth (ordinal of ""pantommidi"", nineteen)"	ordinal adjective	draft
అతనెవరండీ	who is he, sir? (అతను + ఎవరు + అండీ polite particle)	interrogative phrase	draft
వాళ్ళే	they indeed (are); emphatic of వాళ్ళు 'they'	pronoun — emphatic (వాళ్ళు + ఏ)	draft
అర్థమైంది	(it) became clear, I understood — from అర్థమవు	verb — past, 3sg neut	draft
ఎగిరారు	flew (they); from ఎగరు 'to fly'	verb — past, 3rd person plural	draft
పోవచ్చు	may not be — potential auxiliary 'may (happen)', from పోవు	verb — auxiliary, potential	draft
అంటావా	do you say/think (so)? — from అను 'to say'	verb — present-future, 2sg, interrogative	draft
ఉందామా	shall we stay?; from ఉండు 'to be, stay'	verb — hortative interrogative, 1pl	draft
ఒక్క	one (in 'ninety-one'); single	numeral/adjective	draft
పెద్దకరకు	to/around the big stick (పెద్ద కర్ర + dative)	noun phrase — dative	draft
అనిపించి	having made (someone) feel/seem; from అనిపించు	verb — past participle	draft
కొనాలయ్యా	must buy, sir! (from కొను 'buy' + obligative + vocative అయ్యా)	verb — obligative + vocative particle	draft
పేల్పండి	(you) please fire it; from పేల్చు 'to fire, explode'	verb — imperative, polite	draft
పూర్తిచేశాను	I completed (from పూర్తిచేయు 'to complete')	verb — past, 1sg	draft
ఎప్పుడ్డెనా	ever, at any time (from ఎప్పుడైనా)	adverb	draft
దగ్గరేనా	is it near? (దగ్గర 'near' + emphatic -ే + question -ా)	postposition + emphatic + interrogative	draft
అందరి	of everyone, of all (oblique of అందరు)	pronoun — genitive/oblique plural	draft
వెళ్లేలోగా	by the time (I) went/arrived; from వెళ్ళు	verb — temporal clause, 'before/by the time X goes'	draft
గోపాలరావ్రకు	to/for Gopalarao (dative of name Gopalarao)	name — dative	draft
లేరన్నమాట	means that (there) are none — lēru + anna māṭa	phrase (verb + idiom 'that is to say')	draft
నిద్రపోతూ	sleeping (from నిద్రపోవు, to sleep)	verb — durative participle	draft
చదువుతున్నాడా	is he studying? (from చదువు, to read/study)	verb — present continuous, 3sg masc, interrogative	draft
రణాళ్లికలో	in the plan (ప్రణాళిక + లో)	noun — locative	draft
పిల్లలే	children (only/indeed) — emphatic of పిల్లలు, pl. of పిల్ల	noun — plural with emphatic -ఏ	draft
ఇడ్డీ	idli (steamed rice cake)	noun	draft
స్నేహితురాళ్ళల్లో	among (your) female friends; from స్నేహితురాలు	noun — plural locative	draft
౧	the numeral 1 (Telugu digit)	numeral	draft
కాంపెటీషను	competition (English loanword)	noun	draft
బెనను			ocr-junk
ఒకరున్నారు	one person is (there); ఒకరు + ఉన్నారు	noun + verb — present, 3sg honorific	draft
తడిసింది	got wet (from తడియు/తడవడం, to get wet)	verb — past, 3sg neuter	draft
వెళ్ళా	to go (part of 'వెళ్ళాలంటే' = if one wants to go)	verb — infinitive fragment of వెళ్ళు	draft
అల్లుడుగార్ని	the son-in-law (honorific, object)	noun — accusative of అల్లుడుగారు	draft
వర్షాలు	rains (plural of వర్షం, rain)	noun — plural	draft
ఇల్లుకాదు	not a house (illu 'house' + kādu 'is not')	noun + negative copula	draft
తీరింది	was cleared/settled (from తీరు)	verb — past, 3sg neuter	draft
నవ్వి	having laughed; laughed and (from నవ్వు)	verb — perfective participle	draft
అక్ష్లేదు	is not needed (garbled అక్కర్లేదు, from అక్కరలేదు)	verb — negative, 3sg	draft
హజొక్తుగా			ocr-junk
ఊడవకు	don't sweep (neg. imperative of ఊడ్చు 'to sweep')	verb — negative imperative, 2sg	draft
సెక్రైటరీనే	the secretary (emphatic: only the secretary)	noun — accusative + emphatic -ఏ, from సెక్రటరీ	draft
చెయ్యవద్దు	don't do (prohibitive of చేయు 'to do')	verb — negative imperative	draft
చేస్తోందమ్మా	is (she) doing, dear? (from చేయు 'do')	verb — present continuous, 3sg + voc. అమ్మా	draft
ఇచ్చి	having given, submitted (from ఇచ్చు 'to give')	verb — past participle	draft
తిని	having eaten (from తిను, 'to eat')	verb — past participle	draft
వుంటుందట	it will be, they say (hearsay -aṭa; from ఉండు)	verb — future 3sg + reportative	draft
వూ			ocr-junk
ఒక్కసారే	all at once, at the same time (from ఒకసారి 'once')	adverb (emphatic -ఏ)	draft
పనిమానేపై			ocr-junk
ఇస్తావా	will you give? (from ఇవ్వు, to give)	verb — future, 2sg, interrogative	draft
వెళ్ళాంరండి	let's go — come on! (వెళ్ళు 'go' + రండి 'come')	verb phrase — hortative + imperative	draft
కూలింది	collapsed, fell down (from కూలు)	verb — past, 3sg neut	draft
మను	we (OCR of మనం)	pronoun — 1st person plural inclusive	draft
లేదన్నయ్యా	"""is not, brother"" (లేదు 'is not' + అన్నయ్యా 'brother' voc.)"	verb (negative) + vocative noun	draft
బయల్దేరాను	I set out / started (from bayaludēru, to set out)	verb — past, 1sg	draft
యాత్రికులను	pilgrims, travellers (object); from యాత్రికుడు	noun — accusative plural	draft
ఇకృజ్ణించి			ocr-junk
తాతగారి	grandfather's (honorific); from తాతగారు	noun — genitive/oblique	draft
సుబ్బారావ్ర	Subbarao (personal name; OCR for సుబ్బారావు)	name	draft
పిలిపించు	have (him) summoned/called	verb — causative imperative of పిలుచు 'to call'	draft
కొంచెమే	only a little, just a few (కొంచెం + emphatic -ఏ)	adverb	draft
గుళ్ళ	temple (oblique/locative of గుడి)	noun — oblique form	draft
నీళ్ళ	of the water (from నీళ్ళు, water)	noun — oblique/genitive plural	draft
సాయపడే	that helps, helping (from సాయపడు, to help)	verb — relative participle	draft
యేనా	"""-A?"" — the A of B.A. plus question particle నా"	noun fragment + interrogative particle	draft
దిగుతున్నాను	I am getting down/descending (from దిగు 'to descend')	verb — present progressive, 1sg	draft
ఎవరూలేరు	there is nobody (ఎవరు + లేరు)	phrase — pronoun + negative verb	draft
వచ్చిందా	did it come/did you get it? (from వచ్చు, to come)	verb — past 3sg neut., interrogative	draft
వెళ్ళాలంటే	if one wants to go (to), in order to go	verb — conditional of వెళ్ళాలి 'must go'	draft
టట్లున్నది	(from వచ్చే-టట్లున్నది) 'looks as though it will come/rain'	verb phrase ending — 'seems as if', 3sg	draft
ఇవన్నీ	all these (things)	pronoun — ఇవి + అన్నీ, plural	draft
న్నాయి			ocr-junk
తడిసిపోయింది	got thoroughly wet (from తడిసిపోవు)	verb — past, 3sg neuter	draft
ముట్టుకుంటే	if (I) touch; from ముట్టుకోను (to touch)	verb — conditional	draft
అబద్ధమాడుతున్నావు	you are lying (from అబద్ధమాడు 'to tell a lie')	verb — present continuous, 2sg	draft
చేసుకోక	without marrying (neg. participle of చేసుకొను)	verb — negative adverbial participle	draft
చెయ్యమంటావు	do you want me to do; from cheyyamanu (< cheyyu + anu)	verb — present, 2sg	draft
బయల్లేరండి	set out, get going (polite imperative of బయలుదేరు)	verb — imperative, polite/plural	draft
పడితేగాని	unless it fits/turns out right (from పడు)	verb — conditional + గాని 'unless'	draft
అందక	not reaching/out of reach (neg. of అందు, 'to reach')	verb — negative adverbial participle	draft
మైసూరు	Mysore (city in Karnataka)	name — place	draft
పుట్టాయి	arose, were formed (from పుట్టు 'to be born')	verb — past, 3pl neuter	draft
సగానికి	to/than half (dative of సగం 'half')	noun — dative sg	draft
కొనాలి	must/should buy; want to buy (from కొను, 'to buy')	verb — obligative/desiderative	draft
మాట్లాడ్తాడు	he speaks (from మాట్లాడు, to speak)	verb — present/future, 3sg masc	draft
తమిళ	Tamil (language), as modifier	adjective/noun (attributive)	draft
ఇకృజ్ణించేనండీ			ocr-junk
ప్రాణుల	of living beings (from ప్రాణి)	noun — genitive plural	draft
అప్పుడే	already, so soon	adverb (from అప్పుడు 'then')	draft
జీవశాస్త్రజ్ఞులు	biologists (pl. of జీవశాస్త్రజ్ఞుడు)	noun — nominative plural	draft
క్షీ			ocr-junk
కిలోగ్రాములు	kilograms (plural of కిలోగ్రాము)	noun — plural	draft
ఒకటిన్నర	one and a half; half past one	numeral/noun	draft
గ్రాములు	grams (plural of గ్రాము)	noun — plural	draft
ఒకటే	one and the same (from ఒకటి 'one' + emphatic -ఏ)	numeral/pronoun — emphatic	draft
చిన్నమ్మాయికి	for/to the younger daughter (chinna + ammāyi, dative)	noun — dative sg	draft
కొన్నాడు	bought (from కొను, 'to buy')	verb — past, 3sg masc	draft
ఎగబడుతున్నారని	that (they) are thronging/rushing (for); from ఎగబడు	verb — present, 3pl + quotative -అని	draft
ఎంతమందిమి	how many are we? (from ఎంతమంది, how many people)	interrogative pronominal predicate, 1pl	draft
తాగితే	if (one) drinks — conditional of తాగు 'to drink'	verb — conditional	draft
నాకిచ్చాడు	gave (it) to me (నాకు + ఇచ్చాడు)	verb phrase — past, 3sg masc + pronoun	draft
అయినట్లుంది	it seems (time) has come/happened	verb — past participle + 'undi', seems (from అగు/అవు)	draft
నవ్వుతున్నావే	you are laughing (from నవ్వు, to laugh)	verb — present progressive, 2sg	draft
తగిలిందా	did (it) strike/hurt? — from తగులు 'to hit, strike'	verb — past 3sg neut, interrogative	draft
అరవైనాలుగు	sixty-four (64)	numeral	draft
fఈ			ocr-junk
కూతుళ్ళు	daughters (plural of కూతురు)	noun — plural	draft
వందవుంది	a hundred people (misprint of వందమంది)	noun phrase — numeral + classifier	draft
ఊర్కో	be quiet!, stop it! (imperative of ఊరుకొను)	verb — imperative, 2sg	draft
ఇవ్వనా	shall I give? (from ఇవ్వు, to give)	verb — interrogative, 1sg	draft
బాబాయిగారు	uncle (honorific), i.e. paternal uncle	noun — nominative, honorific plural	draft
గురించైనా	about (any of) — గురించి 'about' + ఐనా 'even/any'	postposition + emphatic particle	draft
నీది	yours (pronominal possessive of నీ 'your')	pronoun — possessive, 2sg	draft
కూలబడ్డారు	collapsed, sank down (from కూలబడు)	verb — past, 3rd person plural	draft
చుట్టాలి	must wind/wrap (around); from చుట్టు	verb — obligative (must/should)	draft
అప్పులివ్వటంలో	in giving loans (అప్పు + ఇచ్చు, verbal noun + locative)	verbal noun, locative	draft
నేర్చుకున్న	(that I have) learned — from నేర్చుకొను 'to learn'	verb — past relative participle	draft
అడుగోనండ్డీ	there he is, sir! (look!) — from అదుగో + అండి	interjection (deictic + honorific)	draft
గడియారాలు	watches, clocks (pl. of గడియారం)	noun — plural	draft
భావిస్తున్నారు	(they) believe/consider; from భావించు	verb — present, 3pl	draft
వాడులేడు	"""he is not (there)"" — vāḍu 'he' + lēḍu 'is not'"	pronoun + negative verb (3sg masc)	draft
కుట్టింది	stung (him) — from కుట్టు, to sting/bite	verb — past, 3sg neut	draft
ఇంటిక్	to (the) home; dative of ఇల్లు (house)	noun — dative singular	draft
Bఈరక			ocr-junk
కర్ణాటకదాన్ని	a Karnataka woman (I am ~)	noun — fem, predicative, from కర్ణాటకది	draft
చెప్పెద్దాం	let's tell/say (hortative of చెప్పు)	verb — hortative, 1pl	draft
చేసినట్లు	as (you) did; like doing — from చేయు 'to do'	verb — past participle + comparative suffix	draft
ప్రభది	Prabha's (from Prabha, a name)	noun — possessive of name Prabha	draft
జ్వరమా	fever? (జ్వరము + question marker)	noun — interrogative form	draft
గోప	Gopi (name, vocative; for గోపి)	name — vocative	draft
పోషం			ocr-junk
మంచివాళ్ళం	we are good/nice people (from మంచివాళ్ళు)	noun-predicate — 1pl	draft
కిందటిసారి	last time, on the previous occasion	adverb	draft
సేకరించిన	collected (relative participle of సేకరించు)	verb — past relative participle	draft
కాలేదు	did not become/happen (negative past of అగు/కావు)	verb — negative past	draft
చేశారని	that (they) arranged/did — from చేయు (do)	verb — past + quotative 'ani'	draft
వెళ్ళేసరికి	by the time (he) went/reached	verb — temporal clause form of వెళ్ళు 'to go'	draft
నవలే	is indeed a novel (నవల + emphatic -ఏ)	noun with emphatic particle	draft
ముంచలేదు	didn't dip/immerse (from ముంచు)	verb — negative past, 1sg	draft
ఉండేవాళ్ళు	used to be/stay; those who were (from ఉండు)	verb — habitual past, 3pl	draft
టిక్కెట్లు	tickets (plural of టిక్కెట్టు)	noun — plural	draft
వెళ్తున్నానండీ	I am going (polite, +andi); from వెళ్ళు 'to go'	verb — present continuous, 1sg + honorific particle	draft
వెంకటరామయ్య	Venkataramayya (man's name, speaker)	name	draft
నౌక	ship, craft; here spacecraft (రోదసీ నౌక)	noun	draft
ఆవసరాలకు	for (other) needs; dative pl. of అవసరం 'need'	noun — dative plural	draft
చేస్తున్నాయి	are making (of sound); from చేయు 'to do/make'	verb — present continuous, 3pl	draft
పీరిగెత్తగలగ్రా	can I run (that fast)? — from పరిగెత్తు 'to run' (text garbled)	verb — potential, interrogative, 1sg	draft
యింకా	still, yet (variant of ఇంకా)	adverb	draft
వచ్చేసరికి	by the time (I) come/return; from వచ్చు	verb — temporal clause form	draft
శిష్యులను	(his) disciples/students — accusative pl. of శిష్యుడు	noun — accusative plural	draft
కుమార్కూ	and to Kumar (Kumar + dative -కు + also -ఊ)	name — dative with clitic 'too'	draft
వేసినా	even though (I) switched/put on; from వేయు 'to put'	verb — concessive ('even though X-ed')	draft
బసవయ్య	Basavayya (man's name, speaker)	name	draft
యింట్లో	in (the) house (from ఇల్లు, locative)	noun — locative	draft
వ్యాధులకు	for (their) diseases/ailments	noun — dative plural of వ్యాధి	draft
కాయితాలున్నాయి	there are papers (కాయితం + ఉన్నాయి)	noun + verb — plural, present	draft
వినోద్ది	Vinod's (Vinod + possessive -di)	name — possessive form	draft
ఆకుకూరలు	leafy greens, potherbs (plural of ఆకుకూర)	noun — plural	draft
చాలాసేపైందా	has it been a long while?	verb — past 3sg neut + interrogative particle	draft
మహారాజా	O great king! (vocative of మహారాజు, emperor)	noun — vocative	draft
కదల	to move/budge (with నివ్వటంలేదు: not let go out); from కదలు	verb — infinitive stem	draft
అరిటిపళ్ళు	bananas (plural of అరటిపండు)	noun — plural	draft
వినిపిం	"part of వినిపించటం ""being heard, audible"" (split across a hyphen)"	verb fragment (from వినిపించు, to be heard)	draft
సుశీలకెన్ని	"how many for Susila (Suśīla + dative + ""how many"")"	name + dative + interrogative (sandhi of సుశీలకు + ఎన్ని)	draft
కార్వ్పూన్లు			ocr-junk
పోవాలమ్మ	must go (పోవాలి, from పోవు) + amma, 'ma'am'	verb (obligative) + address term	draft
ఇండియాదే	it's India's (one) — ఇండియా + -ది genitive + emphatic -ఏ	noun — genitive predicate, emphatic	draft
తిప్పుతాను	I will turn (it); from తిప్పు 'to turn'	verb — future/habitual, 1sg	draft
పండిస్తాం	we grow/cultivate (from పండించు)	verb — present-future, 1pl	draft
గిరిగారూ	Mr. Giri! (vocative of Giri + honorific -gāru)	name — vocative, honorific	draft
ప్రోగ్రాం	programme, performance (English loanword)	noun	draft
కట్టావు	you tied/put on (from కట్టు, to tie)	verb — past, 2sg	draft
ప్రయాణానికి	for the journey/trip (from ప్రయాణం, dative)	noun — dative sg	draft
గుమిగూడుతున్నారు	are gathering (in a crowd); from గుమిగూడు	verb — present continuous, 3pl	draft
రాజా	O King! (vocative address)	noun — vocative of రాజు	draft
తెల్లది	the white one (from తెల్ల, 'white')	noun — nominalized adjective, neut. sg.	draft
వెళ్ళాడేమో	perhaps he went/left (from వెళ్ళు, to go)	verb — past 3sg masc + dubitative -ఏమో	draft
రోదసీ	space, outer space (in 'spacecraft')	noun (attributive)	draft
అందుచేతీ	therefore, so, for that reason	adverb (from అందుచేత)	draft
క్షబ్బుకు			ocr-junk
అంతేకాదు	not only that; moreover	adverbial phrase (అంతే + కాదు)	draft
కాకపోతే	if it does not happen/become (from కాకు, neg. of అగు)	verb — negative conditional	draft
కెమేరాలతో	with cameras (కెమేరా, instrumental pl.)	noun — instrumental plural	draft
ఏప్రిల్	April (month name)	noun (loanword)	draft
మ్యుష్పావు	three-quarters (i.e. :45); for ముప్పావు	noun	draft
చదువుతున్న	that (you) are reading; from చదువు 'to read'	verb — present participle (relative)	draft
రచయితలేనా	are (they) writers? (from రచయిత 'writer', pl. + question particle)	noun — plural + interrogative particle	draft
అడిగారు	asked (from అడుగు 'to ask')	verb — past, 3rd person honorific/plural	draft
కేబీజీ	cabbage	noun	draft
తిన్న	having eaten (from తినడం, to eat)	verb — past participle/relative form	draft
కాలుస్తున్నా	I am toasting/roasting (from కాల్చు)	verb — present progressive, 1sg	draft
రవిది	Ravi's (belongs to Ravi); from రవి	noun — possessive/genitive predicate	draft
నరసింహారావుగారూ	Mr. Narasimharao! (vocative, with honorific -gāru)	name — vocative	draft
నీకోసవే	for you only (నీ + కోసమే); emphatic	pronoun + postposition with emphatic -ఏ	draft
పోవటం	going (verbal noun of pōvu, 'to go')	verbal noun	draft
ఎక్కలేరు	cannot climb (from ఎక్కు, to climb)	verb — negative potential, 3pl	draft
లేకపోయినా	"even if (she) is not there; from లేకపోవు ""to not be"""	verb — concessive (even if not)	draft
లేవంటే	if/that (one) says 'there are none'; from లేవు + అంటే	verb — conditional/quotative	draft
అమ్మవి	my mother's (plural possessive predicate)	noun — possessive, plural agreement (from అమ్మ 'mother')	draft
మార్చి	March (month)	noun	draft
స్నేహితులు	friends (plural of స్నేహితుడు)	noun — plural	draft
తక్కినవాళ్ళు	the others, the rest (of the people)	noun — plural (from తక్కిన 'remaining' + వాళ్ళు)	draft
సంపాదించి	having earned (from సంపాదించు, to earn)	verb — conjunctive participle	draft
వాయువు	gas, air (here: gas)	noun	draft
హ్ళోల్సినపని	the need to go (వెళ్ళాల్సిన పని, OCR-garbled)	noun phrase — adjectival participle + 'work/need'	draft
డను			ocr-junk
fఈస			ocr-junk
నాకే	to me only (dative of నేను + emphatic -ఏ)	pronoun — dative + emphatic clitic	draft
రావడం	coming (verbal noun of రా, 'to come')	verbal noun	draft
ఇటూ	"this way, hither (in ""అటూ ఇటూ"" = here and there)"	adverb — emphatic form of ఇటు	draft
వెళ్టాం	(we) will go, let's go — from వెళ్ళు	verb — future, 1pl	draft
గదూ	isn't it? / right? (tag question particle)	particle	draft
చపాతీలేనా	only chapatis? (chapati + emphatic ~enā)	noun (plural) + interrogative emphatic particle	draft
ఇదేనయ్యా	This is it, sir! (ఇదే 'this very one' + అయ్యా address)	pronoun phrase — emphatic + vocative	draft
ఎక్కామో	(whether) we climbed — 'hardly had we climbed'; from ఎక్కు 'to climb'	verb — past, 1pl + dubitative -ఓ	draft
దనరా	flourishing, shining (nonfinite of దనరు)	verb — adverbial participle	draft
ఉన్నట్లున్నాయ్ర	there seem to be (many)	verb — inferential present, 3pl	draft
వమైంది	what happened (to it)? — from ఏమైంది; here misprinted	verb — past, 3sg neut (interrog.)	draft
ఉమ	Uma (woman's name)	name	draft
నందకుమార్	Nandakumar (speaker's name)	name	draft
మంటున్నాడు	…is saying/asking (quotative -మని + అంటున్నాడు, from అను 'to say')	verb — present, 3sg masc	draft
పోతుంది	goes (to); from పోవు 'to go'	verb — present/future, 3sg non-masc	draft
మెట్టపంటలన్నీ	all dry-land (upland) crops	noun phrase — plural + 'all' (మెట్టపంట)	draft
విధించబడుతుంది	will be imposed (passive of విధించు, 'impose')	verb — passive, present/future 3sg neut	draft
కలిపావు	you mixed (in); from కలుపు 'to mix'	verb — past, 2sg	draft
రాసినట్లులేడు	seems not to have written (exam); from రాయు 'write'	verb — negative presumptive, 3sg masc	draft
పనికొస్తాయి	are useful, serve (as); from పనికివచ్చు	verb — future/habitual, 3rd person plural	draft
పరిగెత్తుతున్నాడు	is running (from పరిగెత్తు, to run)	verb — present continuous, 3sg masc	draft
అడిగి	having asked (from అడుగు 'to ask')	verb — perfective participle	draft
నచ్చకపోతే	if (she) doesn't like (it); from నచ్చు 'to please, be liked'	verb — negative conditional	draft
ఏమోయ్	hey! (familiar call to a man)	interjection	draft
ఆపుచేయింప	to have (something) stopped; from ఆపుచేయు 'to stop'	verb — causative infinitive	draft
ఎలాగండీ	how can that be, sir? (polite ఎలాగు + అండి)	interrogative adverb, polite	draft
చూడ	to see/watch (infinitive of చూడు, with -వచ్చు 'may')	verb — infinitive stem	draft
లీవులెటరు	leave letter (English borrowing)	noun	draft
మినపట్లు	minapattu, black-gram pancakes (pl. of మినపట్టు)	noun — plural	draft
కరత్సు	"Karatsu (place name), here ""from Karatsu"""	name — oblique/ablative with నుంచి	draft
కొన్నిరోజులనించి	for the last few days (from some days)	adverbial phrase — noun + postposition నుంచి	draft
చెప్పానా	did I tell? (from చెప్పు, to tell)	verb — past 1sg + question particle	draft
దాటండి	cross (it)! — polite imperative of దాటు 'to cross'	verb — imperative, honorific/plural	draft
అరవయ్యో	sixty (or so) — from అరవై 'sixty'	numeral (with -ో 'or' alternative suffix)	draft
అనలేకపోయాడు	was unable to say (from అను, 'to say')	verb — negative potential, past 3sg masc.	draft
ఒకర్నొకరు	each other, one another	pronoun — reciprocal form of ఒకరు	draft
లేకుం			ocr-junk
పోశాడు	he poured (from పోయు, to pour)	verb — past, 3sg masc	draft
చెయ్యలేదు	did not do (from చెయ్యు, 'to do')	verb — negative past, 1sg	draft
బయల్దేరి	having set out, having started (from బయల్దేరు)	verb — past participle	draft
వెళ్ళవచ్చా	may (I) go? (from వెళ్ళు 'to go')	verb — permissive question, 'may go?'	draft
కెళ్ళాలట	"has to go (so I'm told); from వెళ్ళు ""go"""	verb — obligative + reportative -అట	draft
చెప్తేసమ్మరు			ocr-junk
తీసుకొస్తాను	I will bring (from తీసుకొచ్చు/తీసుకురా, to bring)	verb — future, 1sg	draft
ఒక్కొక్ళటి	each one (of them); apiece — from ఒక్కొక్కటి	pronoun/numeral	draft
వినిపిస్తు	are audible/being heard (from వినిపించు)	verb — present stem (part of వినిపిస్తున్నాయి)	draft
చెయ్యటం	doing, applying (verbal noun of చేయు 'to do')	verbal noun (gerund)	draft
దున్నాలి	must plough (from దున్ను, to plough)	verb — necessitative	draft
బయలేరాం	we set out (from బయలుదేరు, to set off)	verb — past, 1pl	draft
