guid	te	status
Mac48ede3581e	అతను ఐదు గంటలకు ఇంటికి వెళ్లొచ్చు	native
M085190c727ce	ఐదు గంటలు ఎప్పుడు అవుతుందా అని అతను ప్రతిరోజూ ఎదురుచూస్తూ ఉంటాడు	native
M71afdc88f645	నేను ఒక ఆఫీస్ లో పని చేస్తాను	native
Md9d6fe753b51	నేను ప్రతిరోజూ బిజీగా ఉంటాను	native
M8ca364fb9547	నా కస్టమర్లతో నాకు చాలా సమావేశాలున్నాయి	native
M992af046c94d	నాకు ఈ సమావేశాలంటే ఇష్టం లేదు	native
M5e7609e0f06b	అవి నాకు చాలా బోరింగ్గా ఉంటాయి	native
M4ac79fb19e63	కొంతమంది కస్టమర్లు నాతో సరదాగా ఉంటారు	native
M4a6944980e04	నేను చాలా సేపు లంచ్ బ్రేకులు తీసుకుంటాను	native
Mb9a825c51b30	నేను ఐదు గంటలకు ఇంటికి వెళ్లొచ్చు	native
M9cc2913e57d7	ఐదు గంటలు ఎప్పుడు అవుతుందా అని నేను ప్రతిరోజూ ఎదురుచూస్తూ ఉంటాను	native
M1ec3d10c213b	ఒకటి: జేమ్స్ ఒక ఆఫీస్ లో పని చేస్తాడు	native
Mab1851287176	జేమ్స్ స్కూల్లో పని చేస్తాడా?	native
M78a47cc92a67	కాదు, జేమ్స్ ఒక ఆఫీస్ లో పని చేస్తాడు	native
M2ecf837f1a43	రెండు: జేమ్స్ ప్రతిరోజూ బిజీగా ఉంటాడు	native
Md455a1980741	జేమ్స్ చాలా బిజీగా ఉంటాడా?	native
M0f73ad055ff7	అవును, జేమ్స్ ప్రతిరోజూ బిజీగా ఉంటాడు	native
M8b647f23a4bc	మూడు: జేమ్స్ కి కస్టమర్లతో చాలా సమావేశాలుంటాయి	native
M7ec96a75c858	జేమ్స్ కి తక్కువ సమావేశాలుంటాయా?	native
Ma443c0ea0b79	కాదు, జేమ్స్ కి కస్టమర్లతో చాలా సమావేశాలుంటాయి	native
M3dd487b29236	నాలుగు: సమావేశాలు బోరింగ్గా ఉంటాయని జేమ్స్ అనుకుంటాడు	native
M2e772bf4841b	సమావేశాలు బోరింగ్గా ఉంటాయని జేమ్స్ అనుకుంటాడా?	native
M9b0e85b3a1c5	అవును, సమావేశాలు బోరింగ్గా ఉంటాయని జేమ్స్ అనుకుంటాడు	native
M77c00c85dd38	ఐదు: కొంతమంది కస్టమర్లు సరదాగా ఉంటారు	native
M48331453b7ae	కస్టమర్లందరూ సరదాగా ఉంటారా?	native
M38149392d3c4	లేదు, కొంతమంది కస్టమర్లు సరదాగా ఉంటారు	native
Ma369369953e4	ఆరు: జేమ్స్ చాలా సేపు లంచ్ బ్రేక్స్ తీసుకుంటాడు	native
M69cc47ab15ba	జేమ్స్ కొద్ది సేపు లంచ్ బ్రేక్స్ తీసుకుంటాడా?	native
M1886460a1de1	కాదు, అతను కొద్దిసేపు బ్రేక్స్ తీసుకోడు	native
Mad66469f1dbd	అతను చాలా సేపు లంచ్ బ్రేక్స్ తీసుకుంటాడు	native
M6b4d8abe9603	ఏడు: జేమ్స్ ఐదు గంటలకు ఇంటికి వెళ్లొచ్చు	native
Ma7f10cb65670	జేమ్స్ నాలుగు గంటలకు ఇంటికి వెళ్లొచ్చా?	native
Mc09054b43a9d	లేదు, అతను ఐదు గంటలకు ఇంటికి వెళ్లొచ్చు	native
Mfcbd2d509080	లీసా కొత్త బూట్లు కొనాలి అనుకుంటోంది	native
M5b7c78898e4d	ఆమె ఒక షూ దుకాణానికి వెళ్ళింది	native
Mc17383fe0c2c	అక్కడ ఎన్నో మంచి షూలు ఉన్నాయి	native
Mbc547847811c	అక్కడ ఎన్నో మంచి షూలు ఉన్నాయి	native
M4cd60ed12d49	లీసా ఒక జత నీలం రంగు షూలను వేసుకుంది	native
M1703a55a9aba	నీలం రంగు షూలు చాలా టైట్ గా ఉన్నాయి	native
Mdd05756bca58	నీలం రంగు షూలు చాలా టైట్ గా ఉన్నాయి	native
M9fbfdc1165c3	ఆమె నలుపు రంగు షూలు వేసుకుంది	native
Mf7f521152fbd	ఆ షూలు చాలా సౌకర్యంగా ఉన్నాయి	native
M79f7c4382bff	ఆ షూలు చాలా సౌకర్యంగా ఉన్నాయి	native
Mffda6cc3408f	నలుపు రంగు షూల ధర ఎంత అని, లీసా అడిగింది	native
M0e4f08e8db29	నలుపు రంగు షూల ధర నాలుగు వందల యాభై డాలర్లు	native
Mde05696e1440	నలుపు రంగు షూల ధర నాలుగు వందల యాభై డాలర్లు	native
M705be85ecff0	లీసా బాధగా ఆ షూలను కిందకు పెట్టి వెళ్ళిపోయింది	native
M4ed43b04b016	నేను కొత్త షూలు కొనాలి అనుకుంటున్నాను	native
M4e74b6f6d32c	నేను ఒక షూల దుకాణానికి వెళ్ళాను	native
Mf1701ee15795	నేను ఒక జత నీలం రంగు షూలను వేసుకున్నాను	native
Mbccd02371cc4	నేను నలుపు రంగు షూలు వేసుకున్నాను	native
M8076b4cb29dc	నలుపు రంగు షూల ధర ఎంత అని అడిగాను	native
M5677e548b074	నేను బాధగా ఆ షూలను కిందకు పెట్టి వెళ్లిపోయాను	native
Mb9f7c7b8a057	ఒకటి: లీసా కొత్త షూలు కొనాలి అనుకుంటోంది	native
M77d0600b5e5d	లీసా కొత్త షూలు కొనాలి అనుకుంటోందా?	native
Mdc91d2829143	అవును, లీసా కొత్త షూలు కొనాలి అనుకుంటోంది	native
M14f8f640c1bf	రెండు: ఆ షూల దుకాణంలో ఎన్నో మంచి షూలు ఉన్నాయి	native
Me0dfe90a2214	ఆ షూల దుకాణంలో ఎన్నో మంచి షూలు ఉన్నాయా?	native
Mf74abb7fb7b1	అవును, ఆ షూల దుకాణంలో ఎన్నో మంచి షూలు ఉన్నాయి	native
Mee7786b1a4ba	మూడు: లీసా ఒక జత నీలం రంగు షూలను, ఒక జత నలుపు రంగు షూలను వేసుకుని చూసింది	native
M79ba349f7720	లీసా రెండు జతల షూలను వేసుకుని చూసిందా?	native
M4082487d6eaf	అవును, లీసా రెండు జతల షూలను వేసుకుని చూసింది	native
M0efc0bb58474	ఆమె ఒక జత నీలం రంగు షూలను, ఒక జత నలుపు రంగు షూలను వేసుకుని చూసింది	native
M0623bd7a7983	నాలుగు: మొదట, లీసా ఒక జత నీలం రంగు షూలను వేసుకుని చూసింది	native
M612900c411cf	లీసా మొదట ఎరుపు రంగు షూలను వేసుకుని చూసిందా?	native
Maa3ff726e56f	కాదు, లీసా ఎరుపు రంగు షూలను వేసుకోలేదు	native
Mdea47018ffed	ఆమె ఒక జత నీలం రంగు షూలను వేసుకుని చూసింది	native
Mce302cbe6c7a	ఐదు: నీలం రంగు షూలు చాలా టైట్ గా ఉన్నాయి	native
M47f3b0ba133c	నీలం రంగు షూలు సౌకర్యంగా ఉన్నాయా?	native
M38ccc77e0365	కాదు, నీలం రంగు షూలు సౌకర్యంగా లేవు	native
Mb295ed4d0ea7	అవి చాలా టైట్ గా ఉన్నాయి.	native
M032de294833b	ఆరు: నలుపు రంగు షూలు చాలా సౌకర్యంగా ఉన్నాయి	native
Mbaec38d48384	నలుపు రంగు షూలు చాలా సౌకర్యంగా ఉన్నాయా?	native
M07814daf94f5	అవును, నలుపు రంగు షూలు చాలా సౌకర్యంగా ఉన్నాయి	native
M1bcb73f8341f	ఏడు: నలుపు రంగు షూల ధర నాలుగు వందల యాభై డాలర్లు	native
M91a90dcb3fe8	నలుపు రంగు షూలు చాలా ఖరీదైనవా?	native
M24c17cc19219	అవును, నలుపు రంగు షూలు చాలా ఖరీదైనవి	native
Maba697dd015b	వాటి ధర నాలుగు వందల యాభై డాలర్లు	native
M7323cb40a649	ఎనిమిది: లీసా ఆ షూలను కిందకు పెట్టి, దుకాణం నుండి వెళ్ళిపోయింది	native
Ma9a6422738b9	లీసా షూలను కొన్నదా?	native
M8924d40fd969	లేదు, లీసా షూలను కొనలేదు	native
Md5331c73467c	ఆమె ఆ షూలను కిందకు పెట్టి, దుకాణం నుండి వెళ్ళిపోయింది	native
